symbol,acct,qty,per_share
ACM,U,11,92.94
ADM,U,70.801,51.42
AEP,U,11,98.5
AGCO,U,10,103.85
AGG,U,75.698,110.28
AMCR,U,31,58.52
AMKR,U,34,30.41
AMZN,U,125,135.69
AVAV,U,5,230.09
AVGO,U,23,317.36
BAC,U,73.043,35.6
BMY,U,40,50.76
BNTX,U,99,163.1
CARR,U,15,70.27
CCJ,U,9,128.5
CHPT,U,3,216.88
CIEN,U,5,456.44
CMCSA,U,32.016,40.16
CME,U,5,271.1
CMI,U,3,422.12
COF,U,8,251.7
COHR,U,4,320.92
CQP,U,95.158,52.44
CRSP,U,73,113.48
CSCO,U,24.119,92.47
CSIQ,U,58,19.1
D,U,91.786,63.89
DRAM,U,48,54.69
DRS,U,60,34.4
DWSH,U,120,18.77
EQT,U,41.429,38.66
ET,U,62.999,16.54
EXE,U,12,80.77
FCG,U,70,26.29
FDX,U,4.055,192.42
FDXF,U,2,84.99
FERG,U,6,195.4
FSLR,U,4,281.3
GD,U,14.029,257.63
GE,U,8,290.5
GEV,U,2,564
GLW,U,25.027,110.36
GOOGL,U,19,246.74
IBB,U,17,135.2
IBKR,U,20,57.62
IBM,U,5,285
IEF,U,34.435,110.7
IEZ,U,84,18.03
JNJ,U,15.087,148.61
KTOS,U,12,82.37
LHX,U,41.433,192.25
LLY,U,2,880
LMT,U,10.075,460.6
LQD,U,15,113.3
META,U,6,605.38
MSFT,U,41.352,403.58
MT,U,44.384,24.5
NDAQ,U,22,49.92
NFLX,U,0.8213,1296.06
NLY,U,135,27.2
NVDA,U,56,170.17
NXPI,U,5,201.49
OKE,U,24.564,81.19
PFE,U,38,26.7
PLTR,U,10,164.79
PTTRX,U,523.896,9.97
QCOM,U,17,165.57
QGEN,U,34,55.16
QRVO,U,97,105.85
RDDT,U,12,174.79
RS,U,4.013,271.36
RTX,U,74.885,93.85
SMH,U,2,292.1
SOXX,U,4,248
SPCX,U,41,146.56
STN,U,13,88.62
SWKS,U,185.75,100.74
TAN,U,90,56.45
TER,U,3,347
TIP,U,31.442,126.98
TLT,U,101,124.97
TSM,U,3,340
UAE,U,52,19.5
UPS,U,44.276,152.53
VRTX,U,6,451.73
VSNT,U,1,57.81
VST,U,20,169.7
WMT,U,26,113.88
WY,U,45,23.88
XLB,U,32,43.8
XLC,U,11,98.95
XLE,U,64,32.15
XLF,U,38.226,38.63
XLI,U,7,152.3
XLK,U,10,117.7
XLU,U,112,37.02
XLV,U,20,121.45
XYZ,U,15,242.33
AAOI,CHJ,12,157.67
AAPL,CHJ,18.03,266.31
ABEV,CHJ,1697,2.97
ADM,CHJ,20.35,66.25
AGCO,CHJ,21.13,97.69
AMAT,CHJ,23.12,156.5
AME,CHJ,10,229.32
AMGN,CHJ,24.59,229.92
AMZN,CHJ,57,143.81
ASML,CHJ,3.03,"1,023.02"
AVGO,CHJ,20.06,325.26
AXON,CHJ,8,538.48
BAESF,CHJ,6,21.37
BTDR,CHJ,62,14.55
BX,CHJ,8,135.62
CAG,CHJ,152.09,30.87
CARR,CHJ,27,66.34
CAT,CHJ,2.26,251.18
CCJ,CHJ,20,104.42
CEG,CHJ,9.03,228.75
CIEN,CHJ,4,556.7
COF,CHJ,5.04,229.65
COHR,CHJ,6,363.29
D,CHJ,94.79,62.27
DELL,CHJ,6.06,125.6
DRAM,CHJ,10,54
EMR,CHJ,10.27,110.13
ET,CHJ,47.57,11.93
EWY,CHJ,5,182.23
FRVO,CHJ,10,37.53
FSLR,CHJ,4,264
GD,CHJ,4.03,274
GE,CHJ,6.07,243.59
GEV,CHJ,3,330.17
GFS,CHJ,20,71.25
GILD,CHJ,19.43,70.61
GLW,CHJ,22.05,136.72
GOOGL,CHJ,11.01,149.89
GS,CHJ,2.02,633.7
HII,CHJ,5.18,221.74
HPE,CHJ,33,28
HPQ,CHJ,31.77,36.05
HWM,CHJ,5.01,103.81
IBM,CHJ,8,248.63
INTC,CHJ,9.99,39.5
ISRG,CHJ,3,454
J,CHJ,7,147
JEPQ,CHJ,18,57.19
KTOS,CHJ,16,64.41
LEN,CHJ,26.04,125.38
LRCX,CHJ,18.03,101.13
MCHP,CHJ,10,97.83
META,CHJ,6,546.98
MLI,CHJ,0.08,54.38
MOS,CHJ,38,27.95
MRVL,CHJ,34.02,92.38
MSFT,CHJ,14.04,401.6
MTZ,CHJ,2,409
NGG,CHJ,8,56.25
NOC,CHJ,4,607
NTR,CHJ,38.34,55.93
NVDA,CHJ,38.04,190.05
NVO,CHJ,40.69,49.32
NVS,CHJ,8,125.52
PFE,CHJ,44.04,26.88
PHG,CHJ,42,0
PL,CHJ,55,18.42
PYPL,CHJ,64,88.75
QCOM,CHJ,14,143.71
QQEW,CHJ,12.02,106.7
RDDT,CHJ,17,157.76
RKLB,CHJ,35,46.77
ROK,CHJ,4.03,270.96
SKHY,CHJ,7,170.86
SPCX,CHJ,18,177.91
STLD,CHJ,4,242
SWK,CHJ,0.1,103.43
SWKS,CHJ,12.24,90.24
THLEF,CHJ,4,260.1
TLT,CHJ,75.56,126.01
TMUS,CHJ,8,226.86
TT,CHJ,2,417.06
TUR,CHJ,23,43.55
ULS,CHJ,22,52
UMAC,CHJ,50,21.5
VG,CHJ,142,14.1
VRTX,CHJ,6,441.78
VST,CHJ,25.06,173.75
VZ,CHJ,221.18,54.69
WMT,CHJ,13.02,114.75
WY,CHJ,28.5,23.74
XLC,CHJ,12.07,97.57
XLF,CHJ,5.29,36.88
XLK,CHJ,10.02,116.61
XLU,CHJ,20.26,38.59
XOM,CHJ,10.14,98.56
ABEV,IBKR,3266.98,3.01
ACI,IBKR,109.3,22.14
AMAT,IBKR,5,162.71
ASML,IBKR,3,675.91
BABA,IBKR,40,218.4
BAESY,IBKR,21,99.03
CAG,IBKR,191.9,31.87
DVN,IBKR,302.03,46.49
F,IBKR,618.13,13.39
HAGHY,IBKR,135,7.44
INTC,IBKR,75.68,20.55
KLAC,IBKR,5,71.91
LRCX,IBKR,20,100.9
MHVIY,IBKR,128,8.75
MRK,IBKR,61.31,86.34
MRVL,IBKR,20,67.36
NVO,IBKR,39,53.84
NVS,IBKR,8,125.52
PYPL,IBKR,153,143.08
RNMBY,IBKR,6,347.88
SAABY,IBKR,51,19.8
SMERY,IBKR,85,12.28
SOXX,IBKR,4,248
VWAGY,IBKR,225,19.51
VZ,IBKR,208.36,55.53
WBD,IBKR,123,26.93
WDS,IBKR,214.47,21.49
AAPL,471,3,308
ABT,471,6.9,90.8
ACN,471,7,302.34
ADM,471,64.54,52.08
AMAT,471,5.26,139.2
AMD,471,8,230.51
AMGN,471,10.84,242.65
AVGO,471,15.15,309.48
AXON,471,3,381.5
BLK,471,0.01,960.99
BMY,471,110.08,53.07
C,471,43.97,67.24
CDNS,471,3,320
CIEN,471,4,505.28
CLS,471,3,295
CMI,471,2.01,560.36
CNQ,471,44,30.16
COF,471,16.11,207.72
COHR,471,4,260
CQP,471,26.44,50.32
CR,471,5.01,205.74
CRSP,471,20,46.6
DIS,471,9.26,125.42
DRS,471,38.86,33.86
DVN,471,96.85,37.43
EXP,471,8.05,234.17
GD,471,4.13,292.46
GE,471,4.01,295.06
GEV,471,2,564.46
GIB,471,5,104.89
GLW,471,13.08,77.5
GOOGL,471,7.01,313.72
HOOD,471,8,34.6
IBM,471,7.78,139.73
INTC,471,54.03,20.65
JCI,471,9,121.41
JNJ,471,42.33,149.78
KTOS,471,30,66.61
LHX,471,10.32,236.21
LMT,471,3.18,463.39
LOW,471,18.98,166.49
LRCX,471,4.02,208.26
MPC,471,4.02,251.59
MRK,471,26.77,84.07
MSFT,471,5.37,196.37
NFLX,471,8,84.5
NOC,471,2.02,645.83
NTR,471,18,59.7
NVDA,471,52.07,150.73
NVO,471,42,48.73
NVS,471,60,81.91
NXPI,471,21,214.18
OLLI,471,10,113.9
PFE,471,67.91,28.85
PLTR,471,8,86
RDDT,471,7,90.27
RIO,471,31.46,61.3
RTX,471,21.39,92.07
SCCO,471,10,101.55
SNPS,471,9,465.51
SRE,471,26.02,74.07
TOL,471,7.01,145.01
TRP,471,14,59.85
TS,471,35,62.9
UNP,471,9.89,181.56
UPS,471,37.81,151.57
VZ,471,19.17,53.79
WFC,471,23.66,42.9
WMT,471,21.39,105.98
