symbol,acct,qty,per_share,short interest,Current Price,Month Ago Price,Daily % Change,Monthly % Change,T_change%,T_change$
AGCO,U,10,103.85,6.27%,124.2099991,100.5657196,-2.10434917,23.51127161,19.61%,203.60
AVAV,U,5,230.09,9.55%,156.6100006,189.1499939,11.2286912,-17.20327483,-31.94%,-367.40
CHPT,U,3,216.88,22.59%,8.795000076,6.119999886,-1.731840629,43.70915426,-95.94%,-624.25
KTOS,U,12,82.37,5.10%,47.68500137,62.41999817,2.021822124,-23.60621152,-42.11%,-416.22
SWKS,U,185.75,100.74,31.36%,82.30999756,68.79000092,7.538537463,19.65401434,-18.29%,-3423.37
AAOI,CHJ,12,157.67,12.77%,106.0250015,132.8099976,-1.765031756,-20.16790643,-32.76%,-619.74
AGCO,CHJ,21.13,97.69,6.27%,124.2099991,100.5657196,-2.10434917,23.51127161,27.15%,560.37
BTDR,CHJ,62,14.55,31.00%,11.72000027,8.694999695,-4.947280296,34.79011706,-19.45%,-175.46
FRVO,CHJ,10,37.53,"10,186,417 shares",16.11499977,23.92000008,-6.525522128,-32.62959983,-57.06%,-214.15
KTOS,CHJ,16,64.41,5.10%,47.68500137,62.41999817,2.021822124,-23.60621152,-25.97%,-267.60
NTR,CHJ,38.34,55.93,0.95%,79.87999725,66.30999756,-1.040639191,20.46448529,42.82%,918.24
PL,CHJ,55,18.42,9.41%,17.11499977,23.10000038,-0.609753464,-25.90909312,-7.08%,-71.78
RKLB,CHJ,35,46.77,7.46%,63.63000107,80.04000092,0.887904512,-20.50224845,36.05%,590.10
SKHY,CHJ,7,170.86,"22,517,398 shares",193.0299988,135.2899933,-2.819315293,42.6786964,12.98%,155.19
SWKS,CHJ,12.24,90.24,31.36%,82.30999756,68.79000092,7.538537463,19.65401434,-8.79%,-97.06
HOOD,471,8,34.6,4.24%,114.080101,94.51999664,-1.040855117,20.69414417,229.71%,635.84
KTOS,471,30,66.61,5.10%,47.68500137,62.41999817,2.021822124,-23.60621152,-28.41%,-567.75
MPC,471,4.02,251.59,2.70%,402.1900024,319.4453125,0.688463845,25.90261516,59.86%,605.41
NTR,471,18,59.7,0.95%,79.87999725,66.30999756,-1.040639191,20.46448529,33.80%,363.24
MRNA,963,69,67.37,16.16%,133.7799988,59.81000137,-1.349459349,123.6749636,98.58%,4582.29
SKHY,963,7,166,"22,517,398 shares",193.0299988,135.2899933,-2.819315293,42.6786964,16.28%,189.21
SWKS,963,21.32,79.15,31.36%,82.30999756,68.79000092,7.538537463,19.65401434,3.99%,67.37
AGCO,425,30.8,114.62,6.27%,124.2099991,100.5657196,-2.10434917,23.51127161,8.37%,295.37
AVAV,425,5,189.1,9.55%,156.6100006,189.1499939,11.2286912,-17.20327483,-17.18%,-162.45
BULL,425,29,17.5,6.24%,9.319999695,7.260000229,-1.061575166,28.3746474,-46.74%,-237.22
FRVO,425,35,31.59,"10,186,417 shares",16.11499977,23.92000008,-6.525522128,-32.62959983,-48.99%,-541.63
KTOS,425,20,70.18,5.10%,47.68500137,62.41999817,2.021822124,-23.60621152,-32.05%,-449.90
MRNA,425,96,67.75,16.16%,133.7799988,59.81000137,-1.349459349,123.6749636,97.46%,6338.88
MRNA,206,91,79.53,16.16%,133.7799988,59.81000137,-1.349459349,123.6749636,68.21%,4936.75
AVAV,525,3,241.1,9.55%,156.6100006,189.1499939,11.2286912,-17.20327483,-35.04%,-253.47
AVEX,525,30,19.7,10.39%,16.45800018,21.76000023,0.537564688,-24.36580878,-16.46%,-97.26
MRNA,525,46,64,16.16%,133.7799988,59.81000137,-1.349459349,123.6749636,109.03%,3209.88
PSX,525,10.07,175.79,1.43%,262.980011,214.3821564,0.843627662,22.66879643,49.60%,878.00
AVAV,933,5,183.5,9.55%,156.6100006,189.1499939,11.2286912,-17.20327483,-14.65%,-134.45
SNDK,ibkr,1,1493,8.24%,1698.064941,1237.920044,-3.747093585,37.17080919,13.74%,205.06
